,phrase,label,sentiment,subjectivity,language,count
Deutschland,Deutschland,LOC,-0.023800309597523224,0.09380804953560372,de,646
Berlin,Berlin,LOC,0.0036842105263157916,0.018218623481781375,de,247
Ukraine,Ukraine,LOC,-0.03238993710691824,0.05267295597484276,en,212
Russland,Russland,LOC,-0.0020238095238095223,0.075,de,140
Deutschlands,Deutschlands,LOC,-0.009401709401709413,0.08746438746438748,de,117
Europa,Europa,LOC,-0.1238782051282051,0.06057692307692308,de,104
Gaspreisbremse,Gaspreisbremse,LOC,0.1283582089552239,0.0,de,67
Bund,Bund,LOC,0.057692307692307696,0.06153846153846154,de,65
Brüssel,Brüssel,LOC,0.046226415094339626,0.05660377358490566,de,53
Kiew,Kiew,LOC,0.03877551020408164,0.15306122448979592,de,49
Frankreich,Frankreich,LOC,0.08143939393939394,0.01515151515151515,de,44
Deutschland.,Deutschland.,LOC,0.0719047619047619,0.014285714285714285,de,35
Bayern,Bayern,LOC,-0.017647058823529415,0.0,de,34
Wilhelmshaven,Wilhelmshaven,LOC,0.0378787878787879,0.0,de,33
Katar,Katar,LOC,0.032812500000000015,0.04375,de,32
Düsseldorf,Düsseldorf,LOC,0.10444444444444444,0.13333333333333333,de,30
Br\u00fcssel,Br\u00fcssel,LOC,0.0,0.0,de,29
Washington,Washington,LOC,0.0,0.0,de,29
China,China,LOC,0.04482758620689654,0.017241379310344827,de,29
Staaten,Staaten,LOC,0.10705128205128205,0.08333333333333333,de,26
Großbritannien,Großbritannien,LOC,-0.06923076923076923,0.17307692307692307,de,26
Audioinhalten,Audioinhalten,LOC,0.6999999999999997,0.0,de,25
"Podcasts
","Podcasts
",LOC,0.6999999999999997,0.0,de,25
Glatteis,Glatteis,LOC,-0.5180555555555555,0.03472222222222222,de,24
Russlands,Russlands,LOC,-0.08695652173913042,0.13043478260869565,en,23
Europas,Europas,LOC,0.0608695652173913,0.17391304347826086,de,23
Brandenburg,Brandenburg,LOC,0.006521739130434784,0.08695652173913043,de,23
Strompreisbremse,Strompreisbremse,LOC,-0.11304347826086956,0.0,de,23
Ostsee,Ostsee,LOC,-0.10909090909090909,0.0,de,22
Spanien,Spanien,LOC,0.11619047619047619,0.009523809523809525,de,21
USA,USA,LOC,-0.06984126984126984,0.12380952380952381,de,21
Polen,Polen,LOC,0.10499999999999998,0.05,de,20
Niedersachsen,Niedersachsen,LOC,-0.19749999999999998,0.175,de,20
München,München,LOC,-0.045,0.0,de,20
Hamburg,Hamburg,LOC,0.03947368421052629,0.02631578947368421,de,19
EU-Gipfel,EU-Gipfel,LOC,0.010526315789473694,0.13157894736842105,de,19
Italien,Italien,LOC,0.018421052631578946,0.13157894736842105,de,19
Kreml,Kreml,LOC,-0.047222222222222214,0.022222222222222223,de,18
Paris,Paris,LOC,0.2882352941176471,0.0,de,17
Iran,Iran,LOC,-0.08529411764705884,0.0,de,17
Energiepauschale,Energiepauschale,LOC,-0.03823529411764706,0.08823529411764706,de,17
Sachsen,Sachsen,LOC,0.0911764705882353,0.29411764705882354,de,17
Schweiz,Schweiz,LOC,-0.10000000000000002,0.0,de,16
Stadt,Stadt,LOC,0.10833333333333332,0.07142857142857142,de,14
Frankfurt,Frankfurt,LOC,0.22142857142857147,0.0,de,14
Bayerns,Bayerns,LOC,-0.26904761904761904,0.1904761904761905,de,14
Österreich,Österreich,LOC,-0.16428571428571428,0.0,de,14
Venedig,Venedig,LOC,0.05384615384615384,0.0,de,13
Moskau,Moskau,LOC,-0.3076923076923077,0.07692307692307693,de,13
NRW,NRW,LOC,0.010256410256410255,0.0,de,13
Norwegen,Norwegen,LOC,0.3230769230769231,0.0,de,13
Russland.,Russland.,LOC,-0.07692307692307693,0.46153846153846156,de,13
