,phrase,label,sentiment,subjectivity,language,count
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,189
…,…,MISC,3.5805555555555553,2.8555555555555556,de,148
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,112
deutschen,deutschen,MISC,,,de-DE,69
russischen,russischen,MISC,,,de,49
deutsche,deutsche,MISC,,,de,37
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,33
ukrainische,ukrainische,MISC,,,de,24
Deutsche,Deutsche,MISC,,,de,19
russische,russische,MISC,,,de,18
ukrainischen,ukrainischen,MISC,,,de,18
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,18
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,17
europäischen,europäischen,MISC,,,de,17
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,17
russisches,russisches,MISC,,,de,17
Winter.,Winter.,MISC,0.7285714285714285,0.0,de,16
\u00fcberall.,\u00fcberall.,MISC,,,de,15
n-tv,n-tv,MISC,,,de,15
Gaspreisbremse.,Gaspreisbremse.,MISC,0.8999999999999999,0.5,de,13
russischer,russischer,MISC,,,de,12
Millionen,Millionen,MISC,,,de,12
Ukrainer,Ukrainer,MISC,,,de,11
russischem,russischem,MISC,,,de,11
Nord Stream 2,Nord Stream 2,MISC,,,de,11
DER SPIEGEL.,DER SPIEGEL.,MISC,,,de,10
europäische,europäische,MISC,,,de,10
Pandemie,Pandemie,MISC,,,de,9
Gas-Pipelines Nord Stream 1,Gas-Pipelines Nord Stream 1,MISC,,,de,9
Zeit,Zeit,MISC,,,de,9
Bundeskabinett,Bundeskabinett,MISC,0.0,0.0,de,9
