,phrase,label,sentiment,subjectivity,language,count
DWD,DWD,ORG,-0.06402990948445501,0.03817394726485635,de,847
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.08133786848072576,0.03537414965986395,de,735
EU,EU,ORG,0.010473208072373001,0.11231732776617953,de,479
SPD,SPD,ORG,0.027465483234713997,0.04240631163708087,de,338
Bundestag,Bundestag,ORG,0.058372456964006225,0.046948356807511735,de,213
CDU,CDU,ORG,0.12274220032840714,0.03727422003284072,de,203
Grüne,Grüne,ORG,-0.024372759856630816,0.050179211469534045,de,186
EU-Kommission,EU-Kommission,ORG,0.01921874999999999,0.058333333333333334,de,160
FDP,FDP,ORG,0.030208333333333337,0.0546875,de,128
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,0.029466666666666683,0.012,de,125
Deutschland,Deutschland,ORG,-0.0644308943089431,0.06504065040650407,de,123
ntv.de,ntv.de,ORG,0.005701754385964913,0.0,de,114
ADAC,ADAC,ORG,-0.08033980582524272,0.016504854368932037,de,103
LNG,LNG,ORG,-0.06479591836734694,0.07142857142857142,de,98
RWE,RWE,ORG,-0.06272030651340997,0.05747126436781609,de,87
…,…,ORG,-0.04431372549019608,0.06470588235294118,de,85
EU-Staaten,EU-Staaten,ORG,0.04484126984126985,0.19642857142857142,de,84
Cookies,Cookies,ORG,0.5378048780487809,0.0,de,82
Gas,Gas,ORG,0.07884615384615386,0.10897435897435898,de,78
SPIEGEL,SPIEGEL,ORG,0.3824675324675323,0.012987012987012988,de,77
TTS-Player,TTS-Player,ORG,0.06377777777777778,0.09777777777777777,de,75
FC Bayern,FC Bayern,ORG,0.019806763285024155,0.057971014492753624,de,69
Bundesliga,Bundesliga,ORG,0.041304347826086954,0.0,de,69
ZDF,ZDF,ORG,0.08813131313131313,0.00909090909090909,de,66
AfD,AfD,ORG,-0.011718750000000003,0.015625,de,64
Bundeswehr,Bundeswehr,ORG,0.049999999999999996,0.06557377049180328,de,61
FOCUS,FOCUS,ORG,0.17127118644067793,0.0423728813559322,de,59
Social Media,Social Media,ORG,0.06271186440677966,0.1016949152542373,de,59
D…,D…,ORG,0.005357142857142858,0.017857142857142856,de,56
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,-0.07559523809523809,0.03571428571428571,de,56
"Link
","Link
",ORG,-0.46090909090909066,0.06060606060606061,de,55
ei…,ei…,ORG,0.025151515151515143,0.01818181818181818,de,55
Fußball-Bundesliga,Fußball-Bundesliga,ORG,0.025454545454545445,0.0,de,55
picture alliance,picture alliance,ORG,-0.0382716049382716,0.041666666666666664,de,54
ARD,ARD,ORG,0.12211538461538461,0.0,de,52
Hamas,Hamas,ORG,-0.14006410256410257,0.009615384615384616,de,52
Auto,Auto,ORG,-0.46799999999999997,0.02,de,50
EU-Länder,EU-Länder,ORG,0.08191489361702128,0.060283687943262415,de,47
OMV,OMV,ORG,0.03510638297872341,0.1595744680851064,de,47
lby,lby,ORG,-0.07022727272727272,0.056818181818181816,de,44
ÖVP,ÖVP,ORG,0.05813953488372093,0.046511627906976744,de,43
Die Grünen,Die Grünen,ORG,-0.0011627906976744197,0.03488372093023256,de,43
n-tv,n-tv,ORG,0.6999999999999995,0.0,de,43
CSU,CSU,ORG,0.01976744186046511,0.023255813953488372,de,43
Deutsche Bahn,Deutsche Bahn,ORG,0.1598015873015873,0.044444444444444446,de,42
BVB,BVB,ORG,0.042857142857142864,0.08333333333333333,de,42
Greenpeace,Greenpeace,ORG,-0.16097560975609757,0.0,de,41
Deutschem Wetterdienst,Deutschem Wetterdienst,ORG,0.09146341463414634,0.024390243902439025,de,41
Berlin,Berlin,ORG,-0.008536585365853663,0.024390243902439025,de,41
Polizei,Polizei,ORG,-0.03963414634146342,0.036585365853658534,de,41
