,phrase,label,sentiment,subjectivity,language,count
Olaf Scholz,Olaf Scholz,PER,0.02037037037037037,0.0,de,27
Robert Habeck,Robert Habeck,PER,0.10333333333333332,0.06666666666666667,de,15
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,-0.30909090909090914,0.0,de,11
Wladimir Putin,Wladimir Putin,PER,0.18571428571428572,0.0,de,7
Rüdiger Bachmann,Rüdiger Bachmann,PER,-0.2,0.0,de,5
Liz Truss,Liz Truss,PER,0.030000000000000006,0.0,de,5
Gabor Steingart,Gabor Steingart,PER,0.0,0.2,de,5
Michael Kretschmer,Michael Kretschmer,PER,0.0,0.0,de,4
Christian Lindner,Christian Lindner,PER,-0.175,0.0,de,4
Wolfram Günther,Wolfram Günther,PER,0.35,0.0,de,4
Ursula von der Leyen,Ursula von der Leyen,PER,-0.3,0.125,de,4
Giorgia Meloni,Giorgia Meloni,PER,0.3333333333333333,0.0,de,3
Martin Brudermüller,Martin Brudermüller,PER,-0.2333333333333333,0.0,de,3
Wintershall Dea,Wintershall Dea,PER,-0.3333333333333333,0.0,de,3
Björn Alexander,Björn Alexander,PER,-0.2333333333333333,0.0,de,3
Angela Merkel,Angela Merkel,PER,0.6333333333333333,0.0,de,3
Achim Steiner,Achim Steiner,PER,-0.1333333333333333,0.0,de,3
Andreas Jung,Andreas Jung,PER,-0.6666666666666666,0.0,de,3
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,0.0,0.3333333333333333,de,3
Ralf Patzelt,Ralf Patzelt,PER,1.0,0.0,de,2
Bernhard Junge-Hülsing,Bernhard Junge-Hülsing,PER,0.5,0.0,de,2
Königsgemahlin Camilla,Königsgemahlin Camilla,PER,0.0,0.0,de,2
Werner Kogler,Werner Kogler,PER,0.0,0.0,de,2
Ralph Tiesler,Ralph Tiesler,PER,0.15000000000000002,0.0,de,2
Andreas Bovenschulte,Andreas Bovenschulte,PER,0.0,0.0,de,2
Carl von Clausewitz,Carl von Clausewitz,PER,0.5,0.0,de,2
Friedrich Merz,Friedrich Merz,PER,0.0,0.0,de,2
Malu Dreyer,Malu Dreyer,PER,0.0,0.0,de,2
Michale Kretschmer,Michale Kretschmer,PER,-0.7,0.0,de,2
Deutsche-Bank-Chef Sewing,Deutsche-Bank-Chef Sewing,PER,0.0,0.0,de,2
Saskia Esken,Saskia Esken,PER,0.0,0.0,de,2
Sören Pellmann,Sören Pellmann,PER,0.7,0.0,de,2
Daniel Stelter,Daniel Stelter,PER,0.5249999999999999,0.0,de,2
Franziska van Almsick,Franziska van Almsick,PER,0.0,0.0,de,2
Swen Hubrich,Swen Hubrich,PER,0.0,0.0,de,2
Kai Hufendiek,Kai Hufendiek,PER,-0.11666666666666665,0.0,de,2
