,summary,Winter,Energie,Politik,Gesundheit,word
summaryOfAllWords,74324.24636214558,18639.82261942368,38476.90053023232,10725.938416012243,6481.584796476451,
Putins,12.366453759396013,0.11784350016907219,0.141395996487883,-0.9519052993001804,-0.28134043379224133,Putins
Energiekrieg,2.5730032747552474,-0.3277123717817553,0.1931894823254219,-0.21551861048486637,-0.15162348416230945,Energiekrieg
putin energiekrieg,2.5730032747552474,-0.3277123717817553,0.1931894823254219,-0.21551861048486637,-0.15162348416230945,putin energiekrieg
spaltet,2.2325852631178114,-0.18579879055014017,0.09853300395718102,-0.07360502925325109,-0.009709902930693992,spaltet
energiekrieg spalt,2.2325852631178114,-0.18579879055014017,0.09853300395718102,-0.07360502925325109,-0.009709902930693992,energiekrieg spalt
Europa,20.62997694512791,-0.564179657293052,0.3492910723711251,-1.2486466931263653,-0.06369738747370166,Europa
spalt europa,2.2788003650141,-0.20628771454711145,0.11363687981640554,-0.09409395325022249,-0.030198826927665557,spalt europa
USA,7.012108677920607,-1.3302770315314716,0.3934417582401858,-0.26930554093549575,-0.43947254275965403,USA
europa usa,2.4551573729237037,-0.2808294279606979,0.16434672236733575,-0.16863566666380872,-0.10474054034125187,europa usa
planen,6.016678911316556,0.521328442012454,-0.0431912548772654,-1.0649802356784988,-1.0010851093559419,planen
usa plan,2.5327671645196825,-0.3119510117022946,0.18373526335826332,-0.1997572504054056,-0.13586212408284876,usa plan
Gasbrücke,3.2443710151371916,-0.5595600651059863,0.30881002213772735,-0.44736630380909714,-0.38347117748654025,Gasbrücke
plan gasbrücke,3.2443710151371916,-0.5595600651059863,0.30881002213772735,-0.44736630380909714,-0.38347117748654025,plan gasbrücke
WELT,6.9430033917846545,-0.4676933847546835,0.3996214421922125,-1.2081792507375433,-1.1442841244149862,WELT
gasbrücke welt,2.510876482863526,-0.303270454293617,0.17842530579830937,-0.1910766929967279,-0.12718156667417088,gasbrücke welt
Europas,10.14379365872357,-0.7936994731301452,0.44338709897901357,-0.8603844770136193,-1.5234117343991929,Europas
welt europa,2.4243953567932137,-0.2682207216396604,0.1562068319644547,-0.15602696034277144,-0.09213183402021445,welt europa
Energiepreise,20.373128757519765,-1.0504722809195641,0.1677034077875823,0.6093937785529376,-0.9235344313025183,Energiepreise
europa energiepreis,2.9390170392374233,-0.46071375079575805,0.12826840325012812,0.2625835504438403,-0.28462486317631214,europa energiepreis
geostrategischen,2.1894513080376132,-0.1662895339066998,0.08363909089572527,-0.05409577260981073,0.00979935371274623,geostrategischen
energiepreis geostrategisch,2.1894513080376132,-0.1662895339066998,0.08363909089572527,-0.05409577260981073,0.00979935371274623,energiepreis geostrategisch
Risiko,8.639590794757458,0.552313373214999,-0.3161822091042392,-0.5162225645263044,0.14515504271656363,Risiko
geostrategisch risiko,2.1376609242973883,-0.14235077096072626,0.06464298838691013,-0.030157009663837216,0.03373811665871968,geostrategisch risiko
sagt,13.965017232322582,0.26832240586878253,-0.16292971706617992,-0.40148312734167324,0.4412489115333294,sagt
risiko sag,2.1191428505405527,-0.1336502568883118,0.057533134191517094,-0.021456495591422854,0.042438630731134144,risiko sag
Washingtons,2.1089025188082284,-0.12880624465031476,0.053525611819116206,-0.016612483353425668,0.04728264296913137,Washingtons
sag washington,2.1089025188082284,-0.12880624465031476,0.053525611819116206,-0.016612483353425668,0.04728264296913137,sag washington
Sonderbeauftragter,2.087598101359749,-0.11865273704682479,0.04500906617892526,-0.006458975749935668,0.0574361505726214,Sonderbeauftragter
washington sonderbeauftragter,2.087598101359749,-0.11865273704682479,0.04500906617892526,-0.006458975749935668,0.0574361505726214,washington sonderbeauftragter
Energiesicherheit,3.6330646060692118,-0.6727151019441779,-0.08479784649144663,0.4715469605911463,0.6386234505625538,Energiesicherheit
sonderbeauftragter energiesicherheit,2.055986851073812,-0.10339451792516637,0.03190625597699731,0.00879924337172247,0.07269436969427966,sonderbeauftragter energiesicherheit
kam,3.632277696768844,0.15401407845523407,0.0996918599539319,-0.5603047206256451,-0.4964095943030883,kam
Berlin,34.83225479049121,-0.022722804510641185,-0.07840834964691006,0.3633085774944268,-0.2390952751596472,Berlin
komm berlin,2.0252924248653725,-0.08835266321850394,0.01861787297233264,0.023841098078385185,0.08773622440094217,komm berlin
schildern,2.014328505599338,-0.08292445776253837,0.013728891309764077,0.02926930353435057,0.09316442985690766,schildern
berlin schilder,2.014328505599338,-0.08292445776253837,0.013728891309764077,0.02926930353435057,0.09316442985690766,berlin schilder
Land,13.936539596815463,0.1875128036788252,0.07716888156349105,-1.904958943442201,0.29205904626927465,Land
schilder land,2.000857487497017,-0.07621439816892815,0.007615058367407964,0.035979363127960844,0.0998744894505179,schilder land
helfen,7.436931642290847,0.4410651187350816,-0.41691016703193295,0.5213041957262998,-1.2130080282338755,helfen
land helf,1.9978231293493507,-0.07469671820353378,0.006221310740124419,0.037497043093355234,0.10139216941591223,land helf
gefährliche,2.4176587191722496,-0.26543816619444105,0.15438757088015617,-0.1532444048975518,-0.08934927857499485,gefährliche
helf gefährlich,1.9883335430939182,-0.06993543812226119,0.0018223604918871877,0.04225832317462791,0.10615344949718475,helf gefährlich
Preisgefüge,1.9823044089139672,-0.06689857659699587,-0.0010045541409276328,0.04529518469989297,0.10919031102245004,Preisgefüge
gefährlich preisgefüge,1.9823044089139672,-0.06689857659699587,-0.0010045541409276328,0.04529518469989297,0.10919031102245004,gefährlich preisgefüge
brechen,1.9754238774915511,-0.06342156258470519,-0.004261644032746033,0.048772198712183766,0.11266732503474076,brechen
preisgefüge brech,1.9754238774915511,-0.06342156258470519,-0.004261644032746033,0.048772198712183766,0.11266732503474076,preisgefüge brech
Eine,23.729431116383957,-0.3276635372624863,0.008319796261695196,0.29078157427813506,0.17850664174014502,Eine
zentrale,3.1347250223967387,-0.5251800238286107,0.17128279017871673,-0.4129862625317216,0.4859562318509298,zentrale
eine zentral,1.9695682788125937,-0.06045293666745359,-0.007059937975201468,0.05174082462943534,0.11563595095199226,eine zentral
Rolle,3.667693847214847,0.06325007814960747,0.14530311617037311,-0.5700078894957636,-0.5061127631732067,Rolle
zentral rolle,2.672735234530332,-0.36574094619254804,0.21505079504709693,-0.2535471848956589,-0.18965205857310194,zentral rolle
spielt,3.768978339996535,-0.061032935244952645,0.20185367974636234,-0.5972487718330275,-0.5333536455104704,spielt
rolle spiel,1.9638158746858232,-0.057528021122298434,-0.00983287962479738,0.05466574017459047,0.11856086649714752,rolle spiel
Ukraine,31.788291244115136,0.4877192032967532,-0.35693569509130996,-0.1971238558578613,0.23927294713343136,Ukraine
spiel ukraine,1.9598983564675576,-0.05553117869739361,-0.011735075018452404,0.05666258259949538,0.12055770892205228,spiel ukraine
nan,35.79766526754707,-0.0564388547868924,0.18362897444563647,-0.2126723234315853,-1.279215201443046,nan
Ohne,2.736572386666015,-0.3893447492774493,-0.23649086174788642,0.888717026116101,-0.21325586165800342,Ohne
Gazprom,7.6498842015402975,-0.7512489187446388,0.45669052622841927,-1.305135315118246,-1.2412401887956892,Gazprom
ohne gazprom,2.0828726607704566,-0.11638659354357501,0.04308642608723701,-0.004192832246686038,0.05970229407587079,ohne gazprom
geht,21.633051064917478,-0.33847799795552763,0.27334582634778964,-0.1796001913139409,-1.462280083242079,geht
gazprom geh,2.0959743343472335,-0.12265708706529466,0.04838683627050161,-0.010463325768405432,0.05343180055415146,gazprom geh
geh europa,2.1170202684353057,-0.13264813198269937,0.05670696808624183,-0.020454370685810346,0.04344075563674662,geh europa
europa europa,2.1170202684353057,-0.13264813198269937,0.05670696808624183,-0.020454370685810346,0.04344075563674662,europa europa
06.02.2022,2.2010971042415854,-0.17159448555384219,0.08773995106830905,-0.05940072425695297,0.004494402065604014,06.02.2022
europa 06.02.2022,2.2010971042415854,-0.17159448555384219,0.08773995106830905,-0.05940072425695297,0.004494402065604014,europa 06.02.2022
Ukraine-Krise,2.8472051460996934,-0.42897642838175637,0.2486652288023686,-0.3167826670848673,-0.2528875407623102,Ukraine-Krise
06.02.2022 ukraine-kris,2.300124460961426,-0.21560180067732612,0.12032805530616626,-0.10340803938043708,-0.03951291305788016,06.02.2022 ukraine-kris
setzt,6.824124129677222,-0.22582981424238288,0.34063317687314953,-1.1909088046355825,-1.1270136783130256,setzt
ukraine-kris setz,2.4551573729237037,-0.2808294279606979,0.16434672236733575,-0.16863566666380872,-0.10474054034125187,ukraine-kris setz
Kreml,4.343127106883632,0.07948038457979285,0.17248607859081835,-0.7390394246420192,-0.6751442983194622,Kreml
setz kreml,2.725124689249444,-0.3851527503359086,0.22571878658413097,-0.27295898903901955,-0.2090638627164626,setz kreml
Gaslieferungen,30.217355943238932,-2.791055025156023,0.6160710638097787,-2.678861263859134,-1.6874683615801904,Gaslieferungen
kreml gaslieferung,3.2443710151371916,-0.5595600651059863,0.30881002213772735,-0.44736630380909714,-0.38347117748654025,kreml gaslieferung
möglicherweise,3.9044881913106537,-0.35945354064641344,0.300114746471733,-0.6325715141845487,-0.5686763878619916,möglicherweise
gaslieferung möglicherweise,2.47228874367988,-0.2877829042147476,0.16876419814278454,-0.17558914291785874,-0.11169401659530159,gaslieferung möglicherweise
politische,2.2722496373227528,-0.20340893615003583,0.1115469863479547,-0.09121517485314676,-0.027320048530589832,politische
möglicherweise politisch,2.2722496373227528,-0.20340893615003583,0.1115469863479547,-0.09121517485314676,-0.027320048530589832,möglicherweise politisch
Waffe,5.773366237154263,-1.1358938794708942,0.4771194838432185,-1.023700118174005,-0.9598049918514481,Waffe
politisch waffe,2.2137781167306447,-0.17733917673022934,0.09213754823997472,-0.06514541543334032,-0.0012502891107833095,politisch waffe
Über,5.734680368036913,-0.5788601960861266,0.4016838544369691,-1.0169768199166982,-0.9530816935941412,Über
Macht,2.9433871984046274,-0.4621995922288402,0.09583108815490636,0.3595969912080138,-0.2861107046093939,Macht
über macht,2.1376609242973883,-0.14235077096072626,0.06464298838691013,-0.030157009663837216,0.03373811665871968,über macht
verfügt,2.123508003036327,-0.13570800530396807,0.0592248469287685,-0.023514244007078886,0.04038088231547794,verfügt
macht verfüg,2.123508003036327,-0.13570800530396807,0.0592248469287685,-0.023514244007078886,0.04038088231547794,macht verfüg
russische,5.334968357782652,0.3367001734353175,5.033008475384535e-05,-0.9447277581217561,-0.15092021388912383,russische
verfüg russisch,2.099515911797639,-0.12434536570918762,0.04980349380913981,-0.012151604412298693,0.051743521910258376,verfüg russisch
Energiekonzern,5.177443446558486,-0.3920558709455924,0.3006316195237813,-0.914756195751387,-0.17118987813269823,Energiekonzern
russisch energiekonzern,2.0828726607704566,-0.11638659354357501,0.04308642608723701,-0.004192832246686038,0.05970229407587079,russisch energiekonzern
energiekonzern gazprom,2.062053870209886,-0.10634107622135273,0.03446565199203346,0.00585268507553637,0.06974781139809345,energiekonzern gazprom
gazprom europa,2.049182689771567,-0.10007959148166344,0.029009974908435165,0.012114169815225756,0.07600929613778265,gazprom europa
Bernd,2.040822765444478,-0.09599160868509475,0.025413365095499074,0.01620215261179423,0.08009727893435127,Bernd
Riegert,2.0350232133933144,-0.09314579164719304,0.022893222613974216,0.01904796964969623,0.0829430959722532,Riegert
bernd riegert,2.0350232133933144,-0.09314579164719304,0.022893222613974216,0.01904796964969623,0.0829430959722532,bernd riegert
Brüssel,9.251360732476828,-0.25257703012316823,0.3733468419457874,-1.495215451366911,-1.431320325044354,Brüssel
riegert brüssel,2.024459960669115,-0.08794154464693091,0.01824935550831465,0.024252216649958126,0.08814734297251518,riegert brüssel
Wirtschaft,12.45989318180434,-0.25952780139187137,0.1916674245261415,0.12788623346284747,-1.7290646185590295,Wirtschaft
ukraine-kris wirtschaft,2.0844242475661363,-0.11713124260578721,0.043719089490173516,-0.00493748130889817,0.05895764501365868,ukraine-kris wirtschaft
wirtschaft geh,2.1031758230106807,-0.12608706477692036,0.051260378161852305,-0.013893303480031231,0.050001822842525766,wirtschaft geh
Deckung,2.1191428505405527,-0.1336502568883118,0.057533134191517094,-0.021456495591422854,0.042438630731134144,Deckung
