keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Kinder',de,Gesundheit,#b35900,#ffcc99,3,0.2552338344292374
'Kohle',de,Energie,#33cc33,#1f7a1f,3,0.1656234798978136
'Gas',de,Energie,#33cc33,#99e699,3,0.1612481348334976
'Heizkosten',de,Politik,#cc33ff,#990099,3,0.1345887552899594
'Blackout',de,Energie,#33cc33,#55ff00,3,0.1328222717741277
'Winter',de,Winter,#3399ff,#003366,3,0.1295093323886713
'Hochwasser',de,Winter,#3399ff,#0059b3,3,0.1271613874272408
'Schnee',de,Winter,#3399ff,#66d9ff,3,0.1160047874347193
'Energiekosten',de,Politik,#cc33ff,#f9e6ff,3,0.1115537445793935
'Kälte',de,Winter,#3399ff,#cce6ff,3,0.1112599230916956
'ältere Menschen',de,Gesundheit,#b35900,#ff8c1a,3,0.084600562490471
'Schimmel',de,Gesundheit,#b35900,#b35900,3,0.077865326527766
'Glatteis',de,Winter,#3399ff,#0086b3,1,0.07009787076345
'Black Out',de,Energie,#33cc33,#55ff00,2,0.021746884157482226
'Energiepauschale',de,Politik,#cc33ff,#ff4dff,1,2.334622473761363e-07
